Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,CabinAlpha,HaveCabin
3,male,34.5,0,0,7.8292,Q,Mr,,0
3,female,47.0,1,0,7.0,S,Mrs,,0
2,male,62.0,0,0,9.6875,Q,Mr,,0
3,male,27.0,0,0,8.6625,S,Mr,,0
3,female,22.0,1,1,12.2875,S,Mrs,,0
3,male,14.0,0,0,9.225,S,Mr,,0
3,female,30.0,0,0,7.6292,Q,Miss,,0
2,male,26.0,1,1,29.0,S,Mr,,0
3,female,18.0,0,0,7.2292,C,Mrs,,0
3,male,21.0,2,0,24.15,S,Mr,,0
3,male,32.0,0,0,7.8958,S,Mr,,0
1,male,46.0,0,0,26.0,S,Mr,,0
1,female,23.0,1,0,82.2667,S,Mrs,B,1
2,male,63.0,1,0,26.0,S,Mr,,0
1,female,47.0,1,0,61.175,S,Mrs,E,1
2,female,24.0,1,0,27.7208,C,Mrs,,0
2,male,35.0,0,0,12.35,Q,Mr,,0
3,male,21.0,0,0,7.225,C,Mr,,0
3,female,27.0,1,0,7.925,S,Miss,,0
3,female,45.0,0,0,7.225,C,Mrs,,0
1,male,55.0,1,0,59.4,C,Mr,,0
3,male,9.0,0,1,3.1708,S,Master,,0
1,female,36.0,0,0,31.6833,S,Mrs,,0
1,male,21.0,0,1,61.3792,C,Mr,,0
1,female,48.0,1,3,262.375,C,Mrs,B,1
3,male,50.0,1,0,14.5,S,Mr,,0
1,female,22.0,0,1,61.9792,C,Miss,B,1
3,male,22.5,0,0,7.225,C,Mr,,0
1,male,41.0,0,0,30.5,S,Mr,A,1
3,male,32.0,2,0,21.6792,C,Mr,,0
2,male,50.0,1,0,26.0,S,Mr,,0
2,male,24.0,2,0,31.5,S,Mr,,0
3,female,33.0,1,2,20.575,S,Mrs,,0
3,female,36.0,1,2,23.45,S,Mrs,,0
1,male,30.0,1,0,57.75,C,Mr,C,1
3,male,18.5,0,0,7.2292,C,Mr,,0
3,female,22.0,0,0,8.05,S,Miss,,0
3,female,21.0,0,0,8.6625,S,Miss,,0
3,male,25.0,0,0,9.5,S,Mr,,0
3,male,32.0,0,0,56.4958,S,Mr,,0
3,male,39.0,0,1,13.4167,C,Mr,,0
1,male,32.0,0,0,26.55,S,Mr,D,1
3,male,41.0,0,0,7.85,S,Mr,,0
2,female,30.0,0,0,13.0,S,Mrs,,0
1,female,45.0,1,0,52.5542,S,Mrs,D,1
3,male,25.0,0,0,7.925,S,Mr,,0
1,male,45.0,0,0,29.7,C,Mr,A,1
3,male,32.0,0,0,7.75,Q,Mr,,0
1,female,60.0,0,0,76.2917,C,Mrs,D,1
3,female,36.0,0,2,15.9,S,Mrs,,0
1,male,24.0,1,0,60.0,S,Mr,C,1
2,male,27.0,0,0,15.0333,C,Mr,,0
2,female,20.0,2,1,23.0,S,Miss,,0
1,female,28.0,3,2,263.0,S,Miss,C,1
2,male,32.0,0,0,15.5792,C,Mr,,0
3,male,10.0,4,1,29.125,Q,Master,,0
3,male,35.0,0,0,7.8958,S,Mr,,0
3,male,25.0,0,0,7.65,S,Mr,F,1
3,male,32.0,1,0,16.1,S,Mr,,0
1,female,36.0,0,0,262.375,C,Miss,B,1
3,male,17.0,0,0,7.8958,S,Mr,,0
2,male,32.0,0,0,13.5,S,Mr,,0
3,male,18.0,0,0,7.75,S,Mr,,0
3,female,22.0,0,0,7.725,Q,Miss,,0
1,male,13.0,2,2,262.375,C,Master,B,1
2,female,36.0,0,0,21.0,S,Mrs,,0
